"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"5688";"«Платф. Моссельмаш (выс.)», улица Ивана Сусанина (5688)";"37.52832331";"55.86396309";"улица Ивана Сусанина";"Северный административный округ";"район Западное Дегунино";"А92";"Платф. Моссельмаш (выс.)";"";"нет";"";"активна";"889090289";"01010000000D152519A0C342402440B05796EE4B40";"";
"5689";"«Платф. Моссельмаш (пос.)», улица Ивана Сусанина (5689)";"37.52888733";"55.86391785";"улица Ивана Сусанина";"Южный административный округ";"район Нагатино-Садовники";"А92; А215";"Платф. Моссельмаш (пос.)";"";"да";"ГУП «Мосгортранс»";"активна";"889090291";"010100000034CF7C94B2C342401F1730DC94EE4B40";"";
"5690";"«Метро Алтуфьево», улица Лескова (5690)";"37.58916723";"55.89797539";"улица Лескова";"Центральный административный округ";"район Хамовники";"А867; А284; А53; А259; А352; А592; А601; А815";"Метро Алтуфьево";"";"да";"ГУП «Мосгортранс»";"активна";"889090292";"0101000000CA5CF0D469CB4240D8548ADBF0F24B40";"";
"5691";"«МФЦ Бибирево», улица Лескова (5691)";"37.60615723";"55.89766662";"улица Лескова";"Северо-Восточный административный округ";"район Бибирево";"А31; А867; А92; А284; А774; А928; А53; А259; А282; А352; А353; А592; А601; А815; АТ80";"МФЦ Бибирево";"";"да";"ГУП «Мосгортранс»";"активна";"889090293";"0101000000BF8A638F96CD424031CE63BDE6F24B40";"";
"5693";"«Метро Медведково», Широкая улица (5693)";"37.66362658";"55.88745494";"Широкая улица";"Западный административный округ";"район Раменки";"А278; А174; А181; А696; А31; А909; АН6; А353; А428; А771; АС15; АТ80";"Метро Медведково";"";"да";"ГУП «Мосгортранс»";"активна";"889090294";"01010000009CED3CB7F1D44240A0FC9B1F98F14B40";"";
"5697";"«Ул. Дружбы», Университетский проспект (5697)";"37.52420844";"55.71379638";"Университетский проспект";"Западный административный округ";"район Раменки";"А58; А119";"Ул. Дружбы";"";"да";"ГУП «Мосгортранс»";"активна";"889090296";"0101000000290B1D4319C34240350D06AE5DDB4B40";"";
"5698";"«Ул. Дружбы», Университетский проспект (5698)";"37.52225429";"55.71373521";"Университетский проспект";"Юго-Западный административный округ";"Ломоносовский район";"А58; А119";"Ул. Дружбы";"";"да";"ГУП «Мосгортранс»";"активна";"889090297";"010100000073DF833AD9C24240137AE4AC5BDB4B40";"";
"5700";"«Просп. Буденного (пос.)», Семёновский проезд (5700)";"37.71841431";"55.77785081";"Семёновский проезд";"Юго-Западный административный округ";"Ломоносовский район";"А730; АТ88; АТ25";"Просп. Буденного (пос.)";"";"да";"ГУП «Мосгортранс»";"активна";"889090298";"0101000000D6360700F5DB4240FD0E879D90E34B40";"";
"5701";"«Ул. Семеновский Вал», улица Семёновский Вал (5701)";"37.71516642";"55.77668821";"улица Семёновский Вал";"Восточный административный округ";"район Соколиная Гора";"А59; АТ88; А730; АТ25";"Ул. Семеновский Вал";"";"да";"ГУП «Мосгортранс»";"активна";"889090299";"0101000000788CC0928ADB4240C491EE846AE34B40";"";
"5702";"«Просп. Буденного (выс.)», Семёновский проезд (5702)";"37.71977823";"55.77911213";"Семёновский проезд";"Восточный административный округ";"район Соколиная Гора";"А730; АТ88; АТ25";"Просп. Буденного (выс.)";"";"нет";"";"активна";"889090301";"0101000000841C6BB121DC42402A223FF2B9E34B40";"";
"5704";"«Лефортовская наб.», улица Радио (5704)";"37.68305614";"55.7628989";"улица Радио";"Юго-Западный административный округ";"Гагаринский район";"А425; АТ24";"Лефортовская наб.";"";"нет";"";"активна";"889090303";"0101000000E55033626ED74240C3D3D0ABA6E14B40";"";
"5705";"«Ул. Радио», улица Радио (5705)";"37.67898627";"55.76326378";"улица Радио";"Центральный административный округ";"Басманный район";"А78; АТ24";"Ул. Радио";"";"да";"ГУП «Мосгортранс»";"активна";"889090304";"0101000000A10AA805E9D6424022A9A6A0B2E14B40";"";
